customer_id,zone_id,latitude,longitude,demand_totes
C001,Z1,48.208,16.374,7
C002,Z1,48.214,16.360,6
C003,Z1,48.202,16.385,5
C004,Z1,48.220,16.380,7
C005,Z1,48.198,16.368,4
C006,Z1,48.211,16.392,6
C007,Z2,48.242,16.435,5
C008,Z2,48.255,16.420,5
C009,Z2,48.235,16.455,4
C010,Z2,48.265,16.445,6
C011,Z2,48.250,16.470,5
C012,Z2,48.230,16.425,4
C013,Z3,48.150,16.360,4
C014,Z3,48.142,16.375,3
C015,Z3,48.160,16.345,5
C016,Z3,48.135,16.350,4
C017,Z3,48.155,16.390,4
C018,Z3,48.145,16.330,4
C019,Z4,48.182,16.455,4
C020,Z4,48.168,16.470,3
C021,Z4,48.190,16.485,4
C022,Z4,48.160,16.450,3
C023,Z4,48.175,16.500,3
C024,Z4,48.195,16.465,3
