customer_id,zone_id,latitude,longitude,demand_totes
C001,Z1,48.231,16.291,7
C002,Z1,48.243,16.275,6
C003,Z1,48.219,16.312,5
C004,Z1,48.251,16.302,7
C005,Z1,48.212,16.283,4
C006,Z1,48.236,16.329,6
C007,Z2,48.280,16.441,5
C008,Z2,48.301,16.418,5
C009,Z2,48.269,16.473,4
C010,Z2,48.316,16.453,6
C011,Z2,48.294,16.499,5
C012,Z2,48.260,16.426,4
C013,Z3,48.123,16.306,4
C014,Z3,48.111,16.325,3
C015,Z3,48.138,16.280,5
C016,Z3,48.102,16.289,4
C017,Z3,48.131,16.352,4
C018,Z3,48.115,16.258,4
C019,Z4,48.192,16.500,4
C020,Z4,48.170,16.518,3
C021,Z4,48.210,16.533,4
C022,Z4,48.151,16.496,3
C023,Z4,48.183,16.547,3
C024,Z4,48.222,16.514,3
